admiral, complementary
gifted, interesting
lit, parallel
nothing, up-to-date
trashed, unconventional
bigger, formally
prouder, scientifically
above, nouveau
heavier, priceless
deprived, hence
less-favoured, perfect
leveraged, random
available, fertile
noticeable, okey-dokey
clever, thicker
acknowledged, pitiable
due, enrolled
unbecoming, weaker
breadth, removed
korea, supreme
luke, tan
finally, wonderfui
non-transparent, violent
inexcusable, simple
essentially, harmless
functioning, seropositive
tangible, two-fold
info, scared
legitimate, specified
tasteful, teeny
minus, reprehensible
above-mentioned, considered
fulfilled, negligible
diseased, savage
afraid, worse
bitter, glowing
single-ranked, unaffordable
gross, henry
five, practicable
counterproductive, internal
predominantly, uptown
bummed, unlikely
fairest, missing
self-financing, toxic
